DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
PUTUMAYO,45,4501,Puente Internacional San Miguel - Santa Ana,0+0000,109+0000,Puente Internacional San Miguel - Santa Ana (*),95.73,2.47,0.95,0,0,0,0.19,2.29,1.8,0,99.14,4.28,,103.43,109,100.22,1.6,1.6,101.822
PUTUMAYO,45,4502,Santa Ana - Mocoa,60+0300,77+1000,Canangucho - Mocoa,0,7.99,2.22,0.8,0,0,6.88,0,0,0,11.01,6.88,,17.89,19.2,17.89,0,0,17.89
PUTUMAYO,45,4503,Mocoa - Pitalito,0+0000,1+0600,Paso Nacional por Mocoa (*),0,0.62,0,2.67,0,0,0,0,0,0,3.29,0,,3.29,2.74,0,1.65,1.65,1.645
PUTUMAYO,65,6501,Villagarzón - San José del Fragua,3+0000,55+0600,Villagarzón - Puerto Bello,0,0,0,0,0,0,0,11.23,42.54,0,0,53.77,,53.77,53.23,53.77,0,0,53.773
PUTUMAYO,65,65PTA,Variante de Jardín,0+0000,4+0190,Variante de Jardín (3),,,,,,,,,,,,,,0,3.9,,,,0
QUINDÍO,25,25VL07,Cartago - Alcalá,0+0000,20+0100,Cartago - Alcalá,0,1.1,18,1,0,0,0,0,0,0,20.1,0,,20.1,20.1,20.1,0,0,20.1
QUINDÍO,29,2901B,Armenia - Alcalá - Pereira,0+0000,23+0325,Armenia - Montenegro - Alcalá (*),1,4,17.33,1,0,0,0,0,0,0,23.33,0,,23.33,23.33,23.54,0.11,0.11,23.653
QUINDÍO,29,29VLA,Variante de Alcalá y Accesos,0+0000,1+0200,Variante de Alcalá y Accesos,0,1.2,0,0,0,0,0,0,0,0,1.2,0,,1.2,1.1,1.1,0,0,1.1
QUINDÍO,40,4002,La Paila - Armenia,41+0760,50+0250,Club Campestre - Armenia,8.49,0,0,0,0,0,0,0,0,0,8.49,0,,8.49,8.52,8.49,0,0,8.49
QUINDÍO,40,4003,Armenia - Ibagué,0+0000,49+0800,Armenia - La Línea (*),30.5,15.37,4.76,0,0,0,0,0,0,0,50.63,0,,50.63,49.41,42.11,3.92,4.31,46.42
QUINDÍO,40,40QN04,La Española - Armenia,2+0300,4+0000,La Española - Armenia,0,1.7,0,0,0,0,0,0,0,0,1.7,0,,1.7,1.7,1.7,0,0,1.702
QUINDÍO,40,40QN05,Variante Calarcá - Circasia,0+0000,7+0260,Calarcá - La Cabaña,0,7,0.26,0,0,0,0,0,0,0,7.26,0,,7.26,7.26,7.19,0,0,7.19
RISARALDA,23,2302,Mediacanoa - La Unión - La Virginia,123+0200,142+0320,Ansermanuevo - La Virginia,13.9,4.98,0,0,0,0,0,0,0,0,18.89,0,,18.89,18.92,18.89,0,0,18.89
RISARALDA,25,2506,La Victoria - Cerritos,79+0578,87+0725,Cartago - Cerritos (*),0,0,12.51,4,0,0,0,0,0,0,16.51,0,,16.51,5.76,0.3,0,0,0.3
RISARALDA,25,2507,Cerritos - Cauyá,0+0000,0+0300,Cerritos,0,0,0,0.3,0,0,0,0,0,0,0.3,0,,0.3,0.3,0.3,0,0,0.3
RISARALDA,25,2507,Cerritos - Cauyá,0+0300,10+0545,Cerritos - La Virginia,0,4,6.72,0,0,0,0,0,0,0,10.72,0,,10.72,10.32,10.72,0,0,10.72
RISARALDA,25,2507,Cerritos - Cauyá,37+0180,55+0541,Remolinos - Cauyá,0,3.8,8.39,5.89,0,0,0,0,0,0,18.07,0,,18.07,18.23,18.07,0,0,18.07
RISARALDA,25,25RSA,Paso Nacional por La Virginia,0+0000,4+0455,Paso Nacional por La Virginia,0,0.79,4.12,0,0,0,0,0,0,0,4.91,0,,4.91,4.9,4.91,0,0,4.91
RISARALDA,29,2902,Pereira - Manizales,0+0000,5+0800,Puente Mosquera - Cruce Avenida del Ferrocarril (*),0,5,5,1.6,0,0,0,0,0,0,11.6,0,,11.6,10.68,0.92,4.88,4.88,5.8
RISARALDA,29,29RSA,Pereira - Dosquebradas,0+0000,1+0000,"Solución Vial Pereira - Dosquebradas (Incluye Viaducto, Accesos, Orejas y Empalme con Tramo 2902)",0,0.97,2.52,0.37,0,0,0,0,0,0,3.86,0,,3.86,5.7,3.86,1,1,4.86
RISARALDA,29,29RSB,Variante de Galicia,0+0000,1+0710,Variante de Galicia,0,0,1.71,0,0,0,0,0,0,0,1.71,0,,1.71,1.72,1.71,0,0,1.71
RISARALDA,29,29RSC,Variante El Pollo - Chinchiná,0+0000,13+0100,Intersección El Pollo - Intersección El Mandarino,0,5.03,7.02,1,0,0,0,0,0,0,13.05,0,,13.05,13.1,13.05,0,0,13.05
RISARALDA,29,29RS01,Pereira - Cerritos,3+0883,11+0030,Pereira - Cerritos (*),0,9.95,4.12,0.06,0,0,0,0,0,0,14.13,0,,14.13,7.07,0,7.07,7.07,7.071
RISARALDA,50,5002,Las Animas - Santa Cecilia,50+0000,73+0608,Mumbú - Santa Cecilia,0,16.99,2.01,0.45,0,0,0,0,3.85,0,19.45,3.85,,23.3,23.29,23.29,0,0,23.293
RISARALDA,50,5003,Santa Cecilia - Asia,0+0000,72+0000,Santa Cecilia - Asia (*),0,17.95,13.58,11.35,0,0,0,13.05,12.61,2.98,42.88,28.64,,71.52,71.64,77.93,0.17,0.17,78.099
RISARALDA,50,5003,Santa Cecilia - Asia,72+0000,78+0550,Santa Cecilia - Asia,0,0,3.29,0.08,0,0,0,2.97,0,0,3.37,2.97,,6.34,6.46,6.34,0,0,6.34
RISARALDA,50,50RS01,Apía - La Virginia,0+0000,32+0443,Apía - La Virginia,0,25.59,5.42,0,0,0,0,1.4,0,0,31.01,1.4,,32.41,32.91,32.41,,,32.41
SANTANDER,45,4511,Rio Ermitaño - La Lizama,0+0000,149+0484,Rio Ermitaño - La Lizama,32.9,48.06,11.59,0,0,0,0,0,0,0,92.55,0,,92.55,149.07,92.55,0,0,92.55
SANTANDER,45,4513,La Lizama - San Alberto,0+0000,90+0748,La Lizama - San Alberto,76.89,38.94,10.65,0,0,0,0,0,0,0,126.48,0,,126.48,90.59,64.58,32.28,29.62,94.2
SANTANDER,45A,45A06,Puente Nacional - San Gil,0+0000,125+0800,Puente Nacional - San Gil,0,47.29,59.43,17.97,0,0,0,0,0,0,124.69,0,,124.69,124.88,124.69,0,0,124.69
SANTANDER,45A,45A07,San Gil - Bucaramanga,0+0000,93+0000,San Gil - Bucaramanga (*),0,33.98,59.82,8.03,0,0,0,0,0,0,101.83,0,,101.83,93.27,78.98,11.6,11.25,90.23
SANTANDER,45A,45AST08,Floridablanca - Palenque - La Cemento,0+0000,10+0100,Floridablanca - Palenque (*),0,3.97,15.92,0,0,0,0,0,0,0,19.89,0,,19.89,10.02,0,10,10,10
SANTANDER,45A,45A08,Bucaramanga - San Alberto,18+0000,93+0654,Río Negro - San Alberto (*),0,18.82,35.86,21.03,0,0,0,0,0,0,75.71,0,,75.71,75.1,74.37,0.45,0.69,75.057
SANTANDER,55,5504,La Palmera - Presidente,0+0000,102+0211,La Palmera - Presidente (*),3.56,65.94,4.58,2.35,0,0,0,0.31,25.06,0,76.43,25.37,,101.8,101.91,98.36,1.72,1.72,100.081
SANTANDER,55,55BY11,Santa Rosita - Onzaga,6+0953,32+0000,Limites Departamento de Boyacá - Onzaga,0,0,0,0,0,0,8.88,13.88,0,0,0,22.75,,22.75,23.22,22.75,0,0,22.754
SANTANDER,55,55STA,Variante de Concepción,0+0000,2+0215,Variante de Concepción,0,0,0.13,2.09,0,0,0,0,0,0,2.22,0,,2.22,2.16,2.22,0,0,2.215
SANTANDER,55,55ST02,Málaga - San Andrés - Los Curos,0+0000,124+0000,Málaga - Los Curos,4.94,27.09,16.54,1.91,6.64,0,0,0,40.69,25.01,57.12,65.7,,122.82,122.91,122.82,0,0,122.822
SANTANDER,62,6206,Cisneros - Puerto Olaya - Cruce Ruta 45,98+0000,98+0140,Puente sobre el Río Magdalena - Cruce a Puerto Olaya,0.62,0,0,0,0,0,0,0,0,0,0.62,0,,0.62,0.14,0.62,0,0,0.62
SANTANDER,62,6206,Cisneros - Puerto Olaya - Cruce Ruta 45,114+0049,114+0200,"Intersección, Puente, Orejas y Empalme con Ruta 45",0.62,0,0,0,0,0,0,0,0,0,0.62,0,,0.62,0.16,0.62,0,0,0.62
SANTANDER,62,6207,Cruce Puerto Araujo - Landázuri,0+0000,61+1380,Cruce Puerto Araujo - Landázuri (*),1,47.73,7,2.97,2,0,0,0,0,1.48,60.7,1.48,,62.17,63.48,59.7,1,0,59.698
SANTANDER,62,6208,Landázuri - Barbosa,0+0000,70+0674,Landázuri - Barbosa,0,1,26.47,32.81,7.02,0,0,0,1.66,0.62,67.3,2.28,,69.58,70.5,70.78,0,0,70.78
SANTANDER,62,62STA,Variante de Barbosa,0+0000,1+0478,Variante de Barbosa (*),0,0,0,2,0,0,0,0,0,0,2,0,,2,1.53,1.42,0.06,0.06,1.475
SANTANDER,64,6402,Zapatoca - Barichara - San Gil,55+0100,82+0430,Cruce a Guane - San Gil,0,14.06,10.53,3.01,0,0,0,0,0,0,27.59,0,,27.59,27.33,27.59,0,0,27.594
SANTANDER,64,6403,Cruce Ruta 45A (San Gil) - Onzaga - Soatá,0+0000,78+0000,Cruce Ruta 45A (San Gil) - Onzaga,0,22.38,11.27,1.12,0,0,1,31.58,10.82,0,34.77,43.41,,78.17,77.41,78.17,0,0,78.17
SANTANDER,64,64ST02,Ramal a Guane,0+0000,3+0385,Ramal a Guane,0,0,3.24,0,0,0,0,0,0,0,3.24,0,,3.24,3.39,3.24,0,0,3.237
SUCRE,74,7404,Guayepo - Achí,0+0000,77+0350,Guayepo - Achí,30.54,18.53,28.97,13.02,0,0,0,0,0,0,91.06,0,,91.06,83,91.06,0,0,91.06
SUCRE,74,74SCA,Variante de Majagual,0+0000,3+0024,Variante de Majagual,3.02,0,0,0,0,0,0,0,0,0,3.02,0,,3.02,3.02,3.02,0,0,3.02
SUCRE,90,9004,Lorica - San Onofre,30+0000,41+0000,Coveñas - Cruce a Puerto Viejo,0,2.99,0,3,5,0,0,0,0,0,10.98,0,,10.98,10.98,10.98,0,0,10.984
SUCRE,90,9004,Lorica - San Onofre,46+0100,49+0453,Paso Nacional por Tolú,0,0,0,1.28,1.91,0,0,0,0,0,3.19,0,,3.19,3.19,3.19,0,0,3.186
SUCRE,90,9004,Lorica - San Onofre,65+0937,93+0683,Toluviejo - El Pueblito,0.68,0,1,18.98,8.04,0,0,0,0,0,28.7,0,,28.7,27.75,27.72,0,0,27.716
SUCRE,90,90SC02,Coveñas - Sabaneta,0+0000,16+0000,Coveñas - Sabaneta,0.76,3.02,2.97,8.98,0,0,0,0,0,0,15.73,0,,15.73,15.73,15.73,0,0,15.732
TOLIMA,36,3602,Chaparral - Ortega,1+0000,47+0514,Chaparral - Ortega,0.84,18.21,17.04,8.68,0,0,0,0,0,0,44.77,0,,44.77,44.77,44.78,0,0,44.78
TOLIMA,36,3603,Ortega - Guamo,0+0000,36+0253,Ortega - Guamo,0,32.77,0,3,0,0,0,0,,0,35.77,0,,35.77,35.78,35.77,0,0,35.77
TOLIMA,40,4003,Armenia - Ibagué,27+0000,49+0800,La Línea  - Cajamarca,,,,,,,,,,,0,0,,0,,22.53,0,0,22.53
TOLIMA,40,40TL05,Cruce Ruta 40 - La Tambora (Espinal),0+0000,3+0224,Cruce Ruta 40 - La Tambora (Espinal),0,3.17,0,0,0,0,0,0,0,0,3.17,0,,3.17,3.17,317,0,0,317
TOLIMA,45,4507,Castilla - Girardot,24+0060,27+1130,Paso Nacional por El Guamo,0,3.07,0.99,0,0,0,0,0,0,0,4.06,0,,4.06,4.06,4.06,0,0,4.06
TOLIMA,45,4507,Castilla - Girardot,42+0300,45+0000,Paso Nacional por El Espinal (*),0,4.7,0,0,0,0,0,0,0,0,4.7,0,,4.7,4.56,4.7,1.08,1.08,5.78
TOLIMA,50,4510,Honda - Río Ermitaño,33+0353,34+0000,Puente Puerto Salgar,0,0,0.05,0.64,0,0,0,0,0,0,0.69,0,,0.69,0.75,0.69,0,0,0.69
TOLIMA,50,45CNA,Variante al poblado de Puerto Limon,0+0000,1+0375,Variante al poblado de Puerto Limon,0,2.18,0.24,0,0,0,0,0,0,0,2.42,0,,2.42,1.38,1.18,,1.24,2.42
TOLIMA,50,4510,Honda - Río Ermitaño,34+0000,134+0456,Puerto Salgar - Rio Ermitaño,5.01,65.99,12.06,0,0,0,0,0,0,0,83.06,0,,83.06,100.46,17.03,83.05,82.9,99.93
TOLIMA,50,5007,Fresno - Honda,0+0000,26+0695,Fresno - Mariquita,0,2.97,16.18,7.06,0,0,0,0,0,0,26.2,0,,26.2,26.81,26.2,0,0,26.2
TOLIMA,50,5007,Fresno - Honda,46+0000,46+1150,Paso Nacional por Honda (Incluye el Puente Luis Ignacio Andrade) (*),0,0,0,1.16,0,0,0,0,0,0,1.16,0,,1.16,2.3,1.16,0,0,1.16
VALLE DEL CAUCA,19,1901,Cali - Cruce Ruta 40 (Loboguerrero),8+0900,60+0850,Cali - Cruce Ruta 40 (Loboguerrero),23.76,26.64,1.02,0,0,0,0,0,0,0,51.42,0,,51.42,51.42,51.43,0,0,51.43
VALLE DEL CAUCA,23,2301,Cali - Vijes - Mediacanoa,0+0000,12+0000,Cali - Yumbo (*),0,1.7,7.75,2.1,0,0,0,0,0,0,11.55,0,,11.55,12,0,11.5,11.5,11.5
VALLE DEL CAUCA,23,2301,Cali - Vijes - Mediacanoa,12+0000,53+0522,Yumbo - Mediacanoa (*),12.16,29.9,5.75,0,0,0,0,0,0,0,47.81,0,,47.81,42,43.01,1.1,3.7,46.712
VALLE DEL CAUCA,23,23VLB,Variante de Yotoco,0+0000,2+0729,Variante de Yotoco,0,0,2.75,0,0,0,0,0,0,0,2.75,0,,2.75,2.73,2.7,0,0,2.7
VALLE DEL CAUCA,23,23VL01,Glorieta Cencar - Aeropuerto - Cruce Ruta 25,0+0000,15+0000,Glorieta Cencar - Aeropuerto - Cruce Ruta 25 (*) (3),,,,,,,,,,,0,0,,0,15,,,,0
VALLE DEL CAUCA,23,23VL02,Paso de la Torre - Siberia (Variante de Yumbo),0+0000,12+0000,Paso de la Torre - Siberia (Variante de Yumbo) (*) (3),,,,,,,,,,,0,0,,0,12,,,,0
VALLE DEL CAUCA,23,23VL02_1,El Limón - Rozo,0+0000,3+0700,El Limón - Rozo (3),,,,,,,,,,,0,0,,0,3.7,,,,0
VALLE DEL CAUCA,23,23VL02_2,El Limón - La Acequia,0+0000,6+0000,El Limón - La Acequia (3),,,,,,,,,,,0,0,,0,6,,,,0
VALLE DEL CAUCA,23,2302,Mediacanoa - La Unión - La Virginia,0+0000,123+0200,Mediacanoa - Ansermanuevo,0,10.2,102.91,11,0,0,0,0,0,0,124.1,0,,124.1,124.1,124.1,0,0,124.104
VALLE DEL CAUCA,25,2504,Popayán - Cali,98+0020,116+0776,Puente Valencia sobre el Río Cauca - Jamundí -Cali (*),9.57,2.7,0,0,0,0,0,0,0,0,12.27,0,17.6,29.87,18.7,8.74,10.28,10.28,19.02
VALLE DEL CAUCA,25,2504A,Ye de Villarica - Palmira,21+0000,48+0700,Limites Cauca - Palmira (*),22.28,9.88,3,0,0,0,0,0,0,0,35.15,0,,35.15,28.1,20.9,6.97,7.27,28.17
VALLE DEL CAUCA,25,2505,Cali - Palmira - Andalucía,0+0000,19+0000,Cali - Palmira (*),35.35,2.28,0,0,0,0,0,0,0,0,37.63,0,,37.63,19,0,18.95,18.68,18.68
VALLE DEL CAUCA,25,2505,Cali - Palmira - Andalucía,19+0000,25+0000,Paso Nacional por Palmira (*),11.63,0,0,0,0,0,0,0,0,0,11.63,0,,11.63,6,0.37,5.63,5.63,6
VALLE DEL CAUCA,25,2505,Cali - Palmira - Andalucía,25+0000,67+0000,Palmira - Buga (*),52.75,20.38,0,0,0,0,0,0,0,0,73.13,0,,73.13,42.5,10.61,31.27,31.25,41.86
VALLE DEL CAUCA,25,2505B,Palmaseca - El Cerrito,0+0000,28+0000,Palmaseca - El Cerrito (*) (3),,,,,,,,,,,0,0,,0,28.3,,,,0
VALLE DEL CAUCA,25,25VLB,Variante de Palmira,0+0000,14+0000,Variante de Palmira (*),24.28,4.42,0,0,0,0,0,0,0,0,28.7,0,,28.7,14,0,14.33,14.36,14.36
VALLE DEL CAUCA,25,25VLD,Variante Sonso,0+0000,1+0150,Variante Sonso,0,1,0,0.15,0,0,0,0,0,0,1.15,0,,1.15,1.15,1.15,0,0,1.15
VALLE DEL CAUCA,25,25VLC,Variante Ginebra,0+0000,1+0800,Variante Ginebra,0,1.8,0,0,0,0,0,0,0,0,1.8,0,,1.8,1.8,1.8,0,0,1.8
VALLE DEL CAUCA,25,2506,La Victoria - Cerritos,42+0550,79+0578,La Victoria - Cartago (*),0,4.97,45.78,23.47,0,0,0,0,0,0,74.22,0,,74.22,37.03,0,36.74,37.48,37.48
VALLE DEL CAUCA,31,3105,Santander de Quilichao - Florida - Palmira,50+0000,88+0000,Río Desbaratado - Palmira (*),18.85,9.7,19,13.45,6.2,0,0,0,0,0,67.2,0,,67.2,38,34.85,2.95,3.1,37.95
VALLE DEL CAUCA,40,4001,Buenaventura - Cruce Ruta 25 (Buga),0+0000,15+0000,Buenaventura - Citronela (*),0,0.97,4.98,9.23,0,0,0,0,0,0,15.18,0,,15.18,15,5.75,9.07,9.43,15.18
VALLE DEL CAUCA,40,4001,Buenaventura - Cruce Ruta 25 (Buga),15+0000,19+0800,Citronela - Córdoba,0,3.22,1.9,0,0,0,0,0,0,0,5.12,0,,5.12,4.65,4.65,0,0,4.65
VALLE DEL CAUCA,40,4001,Buenaventura - Cruce Ruta 25 (Buga),19+0800,62+0408,Cordoba - Loboguerrero (*),16.42,38.42,11.78,0.81,0,0,0,0,0,0,67.43,0,,67.43,42.61,2.8,38.44,38.45,41.25
VALLE DEL CAUCA,40,4001,Buenaventura - Cruce Ruta 25 (Buga),62+0408,118+0412,Loboguerrero - Cruce Ruta 25 (Buga) (*),11.86,24.02,42.04,8.75,0.46,0,0,0,0,0,87.13,0,,87.13,56,24.64,31.62,30.87,55.51
VALLE DEL CAUCA,40,40VLA,Interseccion Sena - Intersección Citronela,0+0000,10+0000,Interseccion Sena - Intersección Citronela,2.19,6.49,2,0,0,0,0,0,0,0,10.68,0,,10.68,10,10.68,0,0,10.68
VALLE DEL CAUCA,48,4803,Ansermanuevo - Cartago,0+0000,12+0000,Ansermanuevo - Cartago,0,7.19,1.99,1.27,0,0,0,0,0,0,10.44,0,,10.44,10.14,10.14,0,0,10.14
OCAÑA,45,4514,San Alberto - La Mata,0+0000,99+0923,San Alberto - La Mata,0,150.18,15.93,2.24,0,0,0,0,0,0,168.35,0,,168.35,99.67,0,86,86,86
OCAÑA,45,45CSD,Variante al Poblado El Libano,0+0000,1+0139,Variante al Poblado El Libano,0,0,3.06,0,0,0,0,0,0,0,3.06,0,,3.06,1.14,0,1.53,1.53,1.53
OCAÑA,45,45CSE,Variante al Poblado de Minas,0+0000,1+0812,Variante al Poblado de Minas,0,2.4,1.06,0,0,0,0,0,0,0,3.46,0,,3.46,1.81,0,1.73,1.73,1.732
OCAÑA,45,45CSF,Variante al Poblado de San Martin,0+0000,3+0092,Variante al Poblado de San Martin,0,6.13,0.41,0,0,0,0,0,0,0,6.54,0,,6.54,3.09,0,3.27,3.27,3.271
OCAÑA,45,45CSG,Variante al Poblado de Morrison,0+0000,1+0138,Variante al Poblado de Morrison,0,1.16,1,0,0,0,0,0,0,0,2.16,0,,2.16,1.14,0,1.08,1.08,1.08
OCAÑA,45,45CSH,Variante al Poblado del Juncal,0+0000,1+0238,Variante al Poblado del Juncal,0,2.07,1.4,0,0,0,0,0,0,0,3.47,0,,3.47,1.24,0,1.74,1.74,1.738
OCAÑA,45,45CSI,Variante al Poblado de Aguachica,0+0000,4+0905,Variante al Poblado de Aguachica,0,9.7,0,0,0,0,0,0,0,0,9.7,0,,9.7,4.9,0,4.85,4.85,4.85
OCAÑA,45,45CSJ,Variante al Poblado de Besotes,0+0000,1+0140,Variante al Poblado de Besotes,0,2.6,0,0,0,0,0,0,0,0,2.6,0,,2.6,1.14,0,1.3,1.3,1.3
OCAÑA,45,45CS04,Aguaclara - Aguachica,0+0000,1+0920,Aguaclara - Circunvalar de Aguachica (3),,,,,,,,,,,0,0,,0,1.92,,,,0
OCAÑA,70,7007,Aguaclara - Ocaña,0+0000,43+0000,Aguaclara - Río de Oro,0,33.97,7.04,1.99,0,0,0,0,0,0,43,0,,43,43,43.15,0,0,43.15
OCAÑA,70,7007,Aguaclara - Ocaña,43+0000,54+0787,Río de Oro - Ocaña (*),0,1.81,11.49,0,0,0,0,0,0,0,13.3,0,,13.3,11.89,10.42,1.44,1.44,11.86
OCAÑA,70,7008,Ocaña - Sardinata,0+0000,69+0000,Ocaña - Alto del Pozo (*),0,6.29,13.46,51.22,0,0,0,0,0,0,70.97,0,,70.97,68.85,70.97,2.17,2.17,73.142
OCAÑA,70,7006,Gamarra - Aguachica,2+0750,11+0450,Gamarra - Circunvalar de Aguachica (3),,,,,,,,,,,0,0,,0,8.7,,,,0
OCAÑA,70,70CS03,Gamarra - Puerto Capulco,1+0620,5+0000,Gamarra - Puerto Capulco (3),,,,,,,,,,,0,0,,0,3.38,,,,0
OCAÑA,70,70NS01,La Ondina - Llano Grande - Convención,0+0000,33+0000,La Ondina - Llano Grande - Convención,0.61,2.17,10.01,7.12,8.48,0,0,0,1.01,3.82,28.4,4.83,,33.22,32.83,33.23,0,0,33.234
SAN ANDRÉS Y PROVIDENCIA (PLANTA CENTRAL),01,0101,Circunvalación de la Isla de San Andrés,0+0000,27+0800,Circunvalación de la Isla de San Andrés,12,6,4,5.8,0,0,0,0,0,0,27.8,0,,27.8,28.02,27.8,0,0,27.8
SAN ANDRÉS Y PROVIDENCIA (PLANTA CENTRAL),01,0301,Circunvalación de la Isla de Providencia,0+0000,17+0500,Circunvalación de la Isla de Providencia (4),0,4.5,11,2,0,0,0,0,0,0,17.5,0,,17.5,17.73,17.73,0,0,17.732
