DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
GUAJIRA,80,8004A,Valledupar - San Juan del Cesar,33+0000,52+0530,Badillo - San Juan del Cesar,0,13.67,1.97,2.96,0,0,0,0,0,0,18.6,0,,18.6,19.06,18.59,0,0,18.59
GUAJIRA,88,8801,Buenavista - Maicao,0+0000,55+0215,Buenavista - Cuestecitas,30.35,16.12,6.92,1,0,0,0,0,0,0,54.38,0,,54.38,57.21,54.38,1.64,1.64,56.023
GUAJIRA,88,8801,Buenavista - Maicao,55+0215,66+0300,Cuestecitas - Paradero,0,0,0,0,0,0,6.71,3.55,0,0,0,10.26,,10.26,10.7,10.26,0,0,10.263
GUAJIRA,88,88GJ02,Acceso a Albania,0+0000,3+0000,Acceso a Albania,1.02,2.08,0,0,0,0,0,0,0,0,3.11,0,,3.11,2.76,3.11,0,0,3.11
HUILA,20,2002,Popayán - La Portada,67+0370,125+0700,Río Mazamorras - Sombrerillos,10.3,3.77,15.47,7.76,0,0,0,0,20.49,0,37.29,20.49,,57.78,57.41,57.8,0,0,57.8
HUILA,20,2003,Altamira - Gabinete - Florencia,0+0000,38+0000,Altamira - Gabinete,0,2.07,3,5.02,0,0,0,0,27.45,0,10.09,27.45,,37.54,37.55,37.54,0,0,37.538
HUILA,20,2003A,Orrapihuasi - Depresión El Vergel - Florencia,0+0000,41+0742,Orrapihuasi - Depresión El Vergel,6.88,14.08,5.81,15.02,0,0,0,0,0,0,41.78,0,,41.78,41.8,41.78,0,0,41.783
HUILA,24,2402,Candelaria - Laberinto,0+0000,100+0368,Candelaria - Laberinto (*),17.83,29.11,14.33,3.63,0,0,23.52,12.97,0,0,64.9,36.49,,101.39,101.85,100.23,1.16,1.16,101.39
HUILA,24,24HL01,Puerto Nolasco - Nátaga,0+0000,12+0000,Puerto Nolasco - Nátaga,0,3.8,7.84,0,0,0,0,0,0,0,11.64,0,,11.64,11.72,11.64,0,0,11.64
HUILA,24,24HL02,Acceso a Itaibe,0+0000,5+0000,Acceso a Itaibe (Cruce Ruta 24 - Itaibe),0,5.15,0,0,0,0,0,0.96,4.18,0,5.15,5.14,,10.29,5.19,5.15,0,0,5.15
HUILA,24,24HL03,Cruce Ruta 24 - Tesalia,0+0000,3+0100,Cruce Ruta 24 - Tesalia,0,3,0.1,0,0,0,0,0,0,0,3.1,0,,3.1,3.07,3.09,0,0,3.09
HUILA,30,3001,Neiva - Balsillas,0+0000,54+0000,Neiva - Balsillas,0,3,6.5,1,0,0,0,17.05,26.45,0,10.5,43.5,,54,54,54,0,0,54
HUILA,30,3002,Balsillas - Mina Blanca,0+0000,57+0500,Balsillas - Santo  Domingo,0,0,0.25,1.52,0,0,0,56.46,0,0,1.77,56.46,,58.23,58.23,58.23,0,0,58.228
HUILA,37,3701,Garzón - La Plata - Guadualejo,55+0350,77+0000,La Plata - Puerto Valencia,0,16.94,3.91,0,0,0,0,0.48,0,0,20.85,0.48,,21.33,21.46,21.33,0,0,21.327
HUILA,43,4301,Paicol - Tesalia - Teruel - Palermo,0+0000,49+0500,Cruce Tesalia - Teruel (*),0,12.32,13.49,1.26,0.97,0,0,17.45,5.87,0,28.04,23.31,,51.35,51.46,51.35,0.06,0.06,51.41
